repo,file_path,duration_days,event,init_cc,cc_lm,cc_slope,loc_lm,loc_delta,mi_lm,n_authors,lm_days,nesting_lm,comment_ratio_lm,docstring_ratio_lm,max_params_lm,n_except_lm,fan_in_lm,fan_out_lm
airflow,airflow/macros/hive.py,76,1,1.0,1.0,0.0,10,1,100.0,2,13,1.0,0.0,0.0,3.0,0.0,0,1
airflow,airflow/migrations/env.py,80,0,1.0,1.0,0.0,75,4,100.0,3,79,3.0,0.21818181818181817,0.6666666666666666,0.0,0.0,0,4
airflow,airflow/models.py,13,1,18.0,18.0,0.0,1030,-3,16.933821554869493,1,4,8.0,0.012290502793296089,0.5217391304347826,12.0,2.0,1,15
airflow,airflow/operators/__init__.py,174,0,4.0,2.0,-2.0,47,-1,100.0,1,79,2.0,0.0,1.0,0.0,0.0,0,1
airflow,airflow/operators/bash_operator.py,391,0,3.0,3.0,0.0,37,4,61.20930382786652,1,35,2.0,0.0,0.0,2.0,0.0,3,3
airflow,airflow/operators/check_operator.py,79,0,11.0,11.0,0.0,229,1,58.60232121278911,2,21,4.0,0.0,0.2857142857142857,5.0,2.0,0,3
airflow,airflow/operators/docker_operator.py,1,1,10.0,10.0,0.0,161,4,71.92957104315364,1,1,3.0,0.0,0.2,18.0,0.0,1,4
airflow,airflow/operators/dummy_operator.py,120,0,2.0,2.0,0.0,23,2,100.0,1,111,1.0,0.0,0.25,2.0,0.0,3,1
airflow,airflow/operators/email_operator.py,236,0,2.0,2.0,0.0,39,1,100.0,2,2,1.0,0.0,0.25,4.0,0.0,1,1
airflow,airflow/operators/hive2samba_operator.py,9,0,2.0,2.0,0.0,61,0,87.79095171253756,1,19,1.0,0.02,0.25,5.0,0.0,1,3
airflow,airflow/operators/hive_operator.py,98,1,2.0,2.0,0.0,34,2,95.83247283302069,2,13,1.0,0.0,0.25,3.0,0.0,1,2
airflow,airflow/operators/hive_to_mysql.py,144,1,2.0,3.0,1.0,64,10,100.0,2,29,2.0,0.0,0.25,6.0,0.0,0,2
airflow,airflow/operators/jdbc_operator.py,58,0,3.0,3.0,0.0,50,-4,91.48698174445751,1,4,2.0,0.0,0.25,4.0,0.0,0,2
airflow,airflow/operators/mysql_operator.py,361,0,2.0,2.0,0.0,34,4,95.67728541660472,1,35,1.0,0.0,0.5,3.0,0.0,3,2
airflow,airflow/operators/mysql_to_hive.py,224,0,3.0,3.0,0.0,112,10,86.62808975216515,1,1,2.0,0.0,0.2,9.0,0.0,0,5
airflow,airflow/operators/postgres_operator.py,199,0,2.0,2.0,0.0,38,2,93.88084392000145,1,2,1.0,0.0,0.2,3.0,0.0,1,2
airflow,airflow/operators/python_operator.py,171,0,4.0,4.0,0.0,50,-4,89.75218799802943,3,117,2.0,0.0,0.25,5.0,0.0,0,2
airflow,airflow/operators/s3_file_transform_operator.py,50,0,3.0,3.0,0.0,91,-3,79.70094571021744,1,1,3.0,0.0,0.25,7.0,0.0,0,5
airflow,airflow/operators/sensors.py,199,1,3.0,4.0,1.0,135,20,59.17663019667101,1,13,3.0,0.008928571428571428,0.21428571428571427,5.0,0.0,1,4
airflow,airflow/operators/slack_operator.py,87,0,2.0,3.0,1.0,98,26,91.4843346889131,2,50,3.0,0.0,0.5,5.0,1.0,0,2
airflow,airflow/operators/sqlite_operator.py,138,0,2.0,2.0,0.0,33,-3,96.3868935289089,2,8,1.0,0.0,0.25,3.0,0.0,0,2
airflow,airflow/operators/subdag_operator.py,100,0,3.0,3.0,0.0,47,5,83.8168206632902,2,61,2.0,0.0,0.25,3.0,0.0,0,1
airflow,airflow/operators/vertica_to_hive.py,1,0,3.0,3.0,0.0,111,-2,78.519177002903,1,1,3.0,0.0,0.2,9.0,0.0,0,7
airflow,airflow/plugins_manager.py,184,0,9.0,3.0,-6.0,67,8,53.960345134942536,1,41,5.0,0.017857142857142856,0.0,1.0,1.0,0,6
airflow,airflow/security/utils.py,16,0,5.0,5.0,0.0,80,3,76.56014359468652,1,1,3.0,0.3064516129032258,0.14285714285714285,2.0,1.0,3,3
airflow,airflow/settings.py,360,1,1.0,1.0,0.0,51,2,83.94607253281251,2,11,3.0,0.023809523809523808,0.3333333333333333,3.0,1.0,3,3
airflow,airflow/utils.py,77,1,4.0,4.0,0.0,83,6,67.4737593261257,1,14,4.0,0.0,0.3333333333333333,3.0,0.0,4,2
airflow,airflow/www/app.py,35,1,9.0,9.0,0.0,480,3,33.49378863293169,1,12,4.0,0.017721518987341773,0.07142857142857142,4.0,1.0,0,10
airflow,airflow/www/forms.py,65,0,1.0,1.0,0.0,30,-53,100.0,2,17,0.0,0.043478260869565216,0.0,0.0,0.0,0,4
airflow,airflow/www/login.py,58,0,1.0,2.0,1.0,27,8,63.89449757955695,1,11,2.0,0.0,0.0,1.0,0.0,0,5
airflow,airflow/www/utils.py,165,1,2.0,2.0,0.0,84,11,71.39832401180409,1,5,4.0,0.0,0.375,2.0,0.0,3,6
airflow,airflow/www/views.py,96,0,43.0,43.0,0.0,1961,6,0.0,1,1,11.0,0.01667625071880391,0.0641025641025641,4.0,12.0,0,23
airflow,setup.py,22,0,2.0,2.0,0.0,114,0,57.076365823500765,1,1,1.0,0.018691588785046728,0.0,1.0,0.0,0,3
celery,celery/__init__.py,423,0,2.0,2.0,0.0,19,0,65.26696669091577,1,1,2.0,0.0,0.3333333333333333,0.0,0.0,24,0
celery,celery/backends/__init__.py,404,0,2.0,2.0,0.0,19,-37,65.06514113592017,1,1,2.0,0.0,0.0,1.0,0.0,0,3
celery,celery/backends/amqp.py,294,1,3.0,3.0,0.0,122,24,60.61493560916707,1,1,3.0,0.0,0.5384615384615384,5.0,0.0,0,2
celery,celery/backends/base.py,450,0,5.0,6.0,1.0,58,11,49.25497161896598,1,3,4.0,0.0,0.07142857142857142,4.0,0.0,0,1
celery,celery/backends/cache.py,407,0,4.0,4.0,0.0,47,4,51.43456498341524,1,3,2.0,0.0,0.6666666666666666,4.0,1.0,0,4
celery,celery/backends/database.py,387,1,3.0,3.0,0.0,41,3,56.10003250533224,1,3,2.0,0.0,0.7777777777777778,4.0,0.0,0,1
celery,celery/backends/mongodb.py,243,0,5.0,5.0,0.0,257,4,47.63957338794143,3,59,5.0,0.024509803921568627,0.7894736842105263,5.0,1.0,0,5
celery,celery/backends/pyredis.py,171,0,10.0,11.0,1.0,99,5,69.01850203018962,1,60,2.0,0.012658227848101266,0.375,7.0,1.0,0,3
celery,celery/backends/redis.py,37,0,10.0,10.0,0.0,91,0,71.80078241491778,1,7,2.0,0.0273972602739726,0.5,4.0,1.0,0,3
celery,celery/backends/tyrant.py,39,1,4.0,4.0,0.0,69,4,46.59173795760444,1,3,2.0,0.0,0.6,4.0,2.0,0,6
celery,celery/bin/celeryd.py,78,0,7.0,7.0,0.0,371,18,49.863815611179554,1,9,3.0,0.024054982817869417,0.125,13.0,0.0,0,9
celery,celery/bin/celeryd_multi.py,13,0,11.0,11.0,0.0,177,31,27.357356179567216,1,1,5.0,0.0,0.0,5.0,0.0,0,5
celery,celery/concurrency/processes/__init__.py,66,0,5.0,5.0,0.0,105,7,73.50116351904781,1,20,3.0,0.0,0.875,8.0,0.0,0,1
celery,celery/db/models.py,48,0,2.0,2.0,0.0,72,3,51.66156248963744,1,1,1.0,0.0,0.18181818181818182,2.0,0.0,0,3
celery,celery/decorators.py,108,1,1.0,1.0,0.0,53,-9,100.0,1,1,3.0,0.02857142857142857,0.25,1.0,0.0,0,2
celery,celery/discovery.py,227,0,3.0,3.0,0.0,26,-15,100.0,1,2,2.0,0.0,0.6666666666666666,2.0,2.0,0,1
celery,celery/events.py,193,0,3.0,3.0,0.0,62,2,82.95186120661604,1,13,2.0,0.0,0.1,3.0,0.0,0,3
celery,celery/events/snapshot.py,18,0,2.0,2.0,0.0,68,36,50.93070178699321,1,1,3.0,0.0,0.0,4.0,1.0,0,4
celery,celery/events/state.py,86,0,3.0,3.0,0.0,148,12,42.74266917640924,1,1,2.0,0.0,0.0,3.0,2.0,0,2
celery,celery/exceptions.py,361,0,2.0,2.0,0.0,26,12,100.0,1,1,1.0,0.0,0.8571428571428571,3.0,0.0,0,0
celery,celery/execute.py,2,0,11.0,11.0,0.0,98,-8,78.19907822129001,1,1,3.0,0.0,0.6666666666666666,9.0,0.0,0,3
celery,celery/execute/__init__.py,256,0,7.0,7.0,0.0,143,1,72.75835902742745,1,1,2.0,0.0,0.75,9.0,0.0,0,2
celery,celery/fields.py,101,0,4.0,4.0,0.0,50,2,74.80272933901745,1,2,3.0,0.075,0.14285714285714285,3.0,2.0,0,3
celery,celery/loaders/__init__.py,149,0,7.0,7.0,0.0,93,-2,84.22569444084519,1,2,4.0,0.18571428571428572,0.2,1.0,2.0,0,4
celery,celery/loaders/base.py,313,0,2.0,2.0,0.0,35,18,99.46812602800479,1,54,2.0,0.0,0.8,3.0,0.0,0,0
celery,celery/loaders/djangoapp.py,213,0,3.0,3.0,0.0,50,15,91.12626687979308,1,67,2.0,0.23076923076923078,0.8,3.0,0.0,0,2
celery,celery/log.py,9,1,2.0,2.0,0.0,36,3,86.83883415761329,1,1,2.0,0.0,0.3333333333333333,3.0,0.0,0,5
celery,celery/management/commands/celeryd.py,373,0,3.0,3.0,0.0,26,8,91.22179059943116,2,2,2.0,0.0,1.0,1.0,0.0,0,2
celery,celery/management/commands/celerystats.py,155,0,2.0,2.0,0.0,22,1,96.50736020284295,1,1,1.0,0.0,1.0,1.0,0.0,0,2
celery,celery/managers.py,306,0,4.0,4.0,0.0,20,3,81.50128354771071,1,1,3.0,0.06666666666666667,0.0,1.0,0.0,0,3
celery,celery/messaging.py,9,1,2.0,2.0,0.0,31,2,100.0,1,1,1.0,0.0,0.0,3.0,0.0,0,2
celery,celery/models.py,428,0,2.0,2.0,0.0,48,16,56.47176998328768,1,1,1.0,0.0,0.0,1.0,0.0,0,2
celery,celery/monitoring.py,162,0,3.0,3.0,0.0,216,170,66.14342265549114,1,1,3.0,0.0,0.8888888888888888,6.0,0.0,0,4
celery,celery/monitoring/__init__.py,17,0,4.0,2.0,-2.0,39,-44,100.0,1,1,1.0,0.0,0.0,3.0,0.0,0,2
celery,celery/monitoring/handlers/api.py,1,0,2.0,2.0,0.0,74,32,100.0,1,1,2.0,0.0,0.0,2.0,0.0,0,4
